op_name,op_type,with_types
HALT,,
PUSH_I32_0,,
PUSH_I32_1,,
PUSH_I32_1BYTE,b,
PUSH_I32_2BYTES,s,
PUSH_I64_0,,
PUSH_I64_1,,
PUSH_F32_0,,
PUSH_F32_1,,
PUSH_F64_0,,
PUSH_F64_1,,
PUSH,b,"I32,I64,F32,F64,STRING"
PUSH_NULL,,
PUSH_LOCAL,b,"I32,I64,F32,F64,OBJECT"
POP_LOCAL,b,"I32,I64,F32,F64,OBJECT"
PUSH_GLOBAL,b,"I32,I64,F32,F64,OBJECT"
POP_GLOBAL,b,"I32,I64,F32,F64,OBJECT"
PUSH_ARRAY,,"I32,I64,F32,F64,OBJECT"
POP_ARRAY,,"I32,I64,F32,F64,OBJECT"
PUSH_FIELD,b,"I32,I64,F32,F64,OBJECT"
POP_FIELD,b,"I32,I64,F32,F64,OBJECT"
ADD,,"I32,I64,F32,F64"
SUB,,"I32,I64,F32,F64"
MUL,,"I32,I64,F32,F64"
DIV,,"I32,I64,F32,F64"
MOD,,"I32,I64,F32,F64"
BIT_AND,,"I32,I64"
BIT_OR,,"I32,I64"
BIT_XOR,,"I32,I64"
MINUS,,"I32,I64,F32,F64"
BIT_NOT,,"I32,I64"
CAST_I32_TO,,"I64,F32,F64"
CAST_I64_TO,,"I32,F32,F64"
CAST_F32_TO,,"I32,I64,F64"
CAST_F64_TO,,"I32,I64,F32"
UP_CAST,b,
DOWN_CAST,b,
EQ,,"I32,I64,F32,F64"
NE,,"I32,I64,F32,F64"
GT,,"I32,I64,F32,F64"
LT,,"I32,I64,F32,F64"
GE,,"I32,I64,F32,F64"
LE,,"I32,I64,F32,F64"
POP,,
DUPLICATE,,
JUMP,s,
JUMP_IF_TRUE,s,
JUMP_IF_FALSE,s,
INVOKE_FUNCTION,b,
INVOKE_NATIVE_FUNCTION,b,
RETURN,,
RETURN,,"I32,I64,F32,F64,OBJECT"
TAIL_CALL,,
NEW,b,
NEW_ARRAY,b,
NEW_ARRAY_LITERAL,u,"I32,I64,F32,F64"
ARRAY_LENGTH,,
INSTANCE_OF,b,
